Sr.No,Bill no. ,Invoice,Invoice No,Bill Date,,Sticher Name,vendor code,buyer name,Description,Style name,HSN Code,rate,Bill no. ,P O Number,Destination ,, Invoice Full Amount ,Invoice Pcs,"Grn 
Pcs",Short Pcs,Remark,Grn No,Grn Date,,Transport,Bill no. ,LR No,LR  Date ,Cartons,Bank Name,Date,Hundi No,Vendor Code,Remark
315,27315,GS/0,GS/027315,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27315,1878558,Bangalore,," 5,21,640.00 ",2160,2160,0,,82962833,04-Jul-25,,Tci Express,27315,169218453,25-Jun-25,36,,,,,
316,27316,GS/0,GS/027316,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27316,1878558,Ghaziabad,," 1,30,410.00 ",540,540,0,,82824457,02-Jul-25,,Tci Express,27316,169218464,25-Jun-25,9,,,,,
317,27317,GS/0,GS/027317,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27317,1878558,Bhiwandi,," 57,960.00 ",240,240,0,,82772506,01-Jul-25,,Tci Express,27317,169218475,25-Jun-25,4,,,,,
318,27318,GS/0,GS/027318,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Beige,NOOSCWPTLY,62063000,230.00,27318,1878564,Bhiwandi,," 43,470.00 ",180,180,0,,82772492,01-Jul-25,,Tci Express,27318,169218486,25-Jun-25,3,,,,,
319,27319,GS/0,GS/027319,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Beige,NOOSCWPTLY,62063000,230.00,27319,1878564,Ghaziabad,," 1,01,430.00 ",420,420,0,,82903202,03-Jul-25,,Tci Express,27319,169218490,25-Jun-25,7,,,,,
320,27320,GS/0,GS/027320,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Beige,NOOSCWPTLY,62063000,230.00,27320,1878564,Bangalore,," 43,470.00 ",180,180,0,,82962990,04-Jul-25,,Tci Express,27320,169218512,25-Jun-25,3,,,,,
321,27321,GS/0,GS/027321,25-Jun-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Beige,NOOSCWPTLY,62063000,230.00,27321,1878564,West Bengal,," 57,960.00 ",240,240,0,,82895982,03-Jul-25,,Tci Express,27321,169218501,25-Jun-25,4,,,,,
322,27322,GS/0,GS/027322,25-Jun-25,,Gajanan Kumar Koli,,Moglix,"SU-EAL00004-
123 SS25/Silver",EAL00004,62064000,191.00,27322,MOGLIX8319500501638634,Hyderabad,," 1,68,462.00 ",840,847,-7,,GRC(HYD)/00002781/25-26,04-Jul-25,,Elite Eagle,27322,EE-929377,23-Jun-25,10,,,,,
323,27323,GS/0,GS/027323,27-Jun-25,,Swar Savi Enterprises,116216,D-Mart,PALAZZO LD CTN BT SCF,PALAZZO LD CTN BT SCF,62045290,247.00,27323,5002343301,Bhiwandi,," 2,65,574.00 ",1024,1024,0,,Payment Received,07-Jul-25,,Sai Logistics,27323,159856,27-Jun-25,32,Allocation send,15-10-2025,Money Return,,
324,27324,GS/0,GS/027324,27-Jun-25,,Swar Savi Enterprises,116216,D-Mart,PALAZZO LD CTN BT SCF,PALAZZO LD CTN BT SCF,62045290,247.00,27324,5002343312,Telangana,," 3,81,763.00 ",1472,1440,32,Carton Return to vapi Warehoue ,Payment Received,07-Jul-25,,Sai Logistics,27324,159857,27-Jun-25,46,Allocation send,15-10-2025,Money Return,,
325,27325,GS/0,GS/027325,27-Jun-25,,Swar Savi Enterprises,116216,D-Mart,PALAZO LD RYKLIPRT,PALAZO LD RYKLIPRT,62045390,375.00,27325,5002343301,Bhiwandi,," 4,03,200.00 ",1024,1024,0,,Payment Received,07-Jul-25,,Sai Logistics,27325,159858,27-Jun-25,32,Allocation send,15-10-2025,Money Return,,
326,27326,GS/0,GS/027326,27-Jun-25,,Swar Savi Enterprises,116216,D-Mart,PALAZO LD RYKLIPRT,PALAZO LD RYKLIPRT,62045390,375.00,27326,5002343325,Vadodara,," 3,40,200.00 ",864,864,0,,Payment Received,07-Jul-25,,Sai Logistics,27326,159859,27-Jun-25,27,,,,,
327,27327,GS/0,GS/027327,27-Jun-25,,Swar Savi Enterprises,116216,D-Mart,PALAZO LD RYKLIPRT,PALAZO LD RYKLIPRT,62045390,375.00,27327,5002343312,Telangana,," 3,65,400.00 ",928,928,0,,Payment Received,07-Jul-25,,Sai Logistics,27327,159860,27-Jun-25,29,,,,,
328,27328,GS/0,GS/027328,25-Jun-25,,Gajanan Kumar Koli,116216,D-Mart,KURTA LD PC LCE,KURTA LD PC LCE,62063090,230.00,27328,5002311461,Vadodara,," 4,75,272.00 ",1968,1968,0,,Payment Received,08-Jul-25,,Sai Logistics,27328,159871,02-Jul-25,41,,,,,
329,27329,GS/0,GS/027329,26-Jun-25,28-Mar-26,House of Sp LLP,,Nexon,SU-YWET00106-225 AW25/Black,YWET00106,61062010,180.00,27329, PO(ELHYD)/03509/25-26,Hyderabad,," 9,45,000.00 ",5000,4999,1,,GRC(HYD)/00002746/25-26,02-Jul-25,,Elite Eagle,27329,EE-930152,27-Jun-25,59,,,,,
330,27330,GS/0,GS/027330,,,Cancel Invoice,,,,,,,27330,,,,,,,,,Cancel Invoice,,,,27330,,,,,,,,
331,27331,GS/0,GS/027331,26-Jun-25,28-Mar-26,House of Sp LLP,,Nexon,"SU-YWET00106-
225 AW25/Teal",YWET00106,61062010,180.00,27331,PO(ELHYD)/03458/25-26,Hyderabad,," 3,78,000.00 ",2000,2000,0,,GRC(HYD)/00002758/25-26,02-Jul-25,,Elite Eagle,27331,EE-930109,27-Jun-25,24,,,,,
332,27332,GS/0,GS/027332,28-Jun-25,28-Mar-26,Bharat Garments,,Nexon,"SU-ESP00004-
225 AW25/Black
",ESP00004,62063000,275.00,27332,PO(ELT)/00313/25-26,Bhiwandi,," 57,750.00 ",200,200,0,,GRC(ELT)/00363/2025-2026,05-Jul-25,,Elite Eagle,27332,EE-930488,30-Jun-25,5,,,,,
333,27333,GS/0,GS/027333,28-Jun-25,28-Mar-26,Bharat Garments,,Nexon,"SU-ESP00004-125 AW25/Golden Cream

",ESP00004,62063000,275.00,27333,PO(ELT)/00314/25-26,Bhiwandi,," 57,750.00 ",200,200,0,,GRC(ELT)/00360/2025-2026,05-Jul-25,,Elite Eagle,27333,EE-930487,30-Jun-25,5,,,,,
334,27334,GS/0,GS/027334,28-Jun-25,28-Mar-26,Bharat Garments,,Nexon,"SU-ESP00004-223 AW25/Offwhite

",ESP00004,62063000,275.00,27334,PO(ELT)/00143/25-26,Bhiwandi,," 57,750.00 ",200,200,0,,GRC(ELT)/00359/2025-2026,05-Jul-25,,Elite Eagle,27334,EE-930491,30-Jun-25,5,,,,,
335,27335,GS/0,GS/027335,28-Jun-25,28-Mar-26,Bharat Garments,,Nexon,"SU-ESP00004-
125 AW25/Shell",ESP00004,62063000,275.00,27335,PO(ELT)/00311/25-26,Bhiwandi,," 57,750.00 ",200,200,0,,GRC(ELT)/00362/2025-2026,05-Jul-25,,Elite Eagle,27335,EE-930490,30-Jun-25,5,,,,,
336,27336,GS/0,GS/027336,28-Jun-25,28-Mar-26,Bharat Garments,,Nexon,"SU-ESP00004-
125 AW25/White",ESP00004,62063000,275.00,27336,PO(ELT)/00312/25-26,Bhiwandi,," 57,750.00 ",200,200,0,,GRC(ELT)/00361/2025-2026,05-Jul-25,,Elite Eagle,27336,EE-930489,30-Jun-25,5,,,,,
337,27337,GS/0,GS/027337,03-Jul-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27337,1883640,West Bengal,," 28,980.00 ",120,120,0,,83655621,15-Jul-25,,Tci Express,27337,169220855,03-Jul-25,2,,,,,
338,27338,GS/0,GS/027338,03-Jul-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27338,1883640,Bangalore,," 86,940.00 ",360,240,120,Debit Note As Per Mail,83472831,12-Jul-25,,Tci Express,27338,169220866,03-Jul-25,6,,,,,
339,27339,GS/0,GS/027339,03-Jul-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27339,1883640,Ghaziabad,," 14,490.00 ",60,60,0,,83250929,09-Jul-25,,Tci Express,27339,169220870,03-Jul-25,1,,,,,
340,27340,GS/0,GS/027340,03-Jul-25,,Bharat Garments,12635,Max,NOOSCWPTLY/Offwhite,NOOSCWPTLY,62063000,230.00,27340,1883640,Bhiwandi,," 57,960.00 ",240,240,0,,83225821,09-Jul-25,,Tci Express,27340,169220881,03-Jul-25,4,,,,,
341,27341,GS/0,GS/027341,30-Jun-25,,Salasar Creation,,Moglix,SU-IT00058-125 SS25/Apple Green,IT00058,62064000,238.75,27341,MOGLIX8319500501652656,Hyderabad,," 4,51,238.00 ",1800,1799,1,,GRC(HYD)/00002941/25-26,10-Jul-25,,Elite Eagle,27341,EE-931247,04-Jul-25,25,,,,,
342,27342,GS/0,GS/027342,05-Jul-25,,Abt Enterprises,12635,Max,"UTSKP
A25MB/Black","UTSKP
A25MB",62063000,205.00,27342,1870618,Bhiwandi,," 3,12,113.00 ",1450,1450,0,,83404767,11-Jul-25,,Tci Express,27342,169221371,05-Jul-25,19,,,,,
343,27343,GS/0,GS/027343,05-Jul-25,,Abt Enterprises,12635,Max,"UTSKP
A25MB/Black","UTSKP
A25MB",62063000,205.00,27343,1870618,Ghaziabad,," 4,87,541.00 ",2265,2265,0,,83531031,13-Jul-25,,Tci Express,27343,169221382,05-Jul-25,29,,,,,
344,27344,GS/0,GS/027344,05-Jul-25,,Abt Enterprises,12635,Max,"UTSKP
A25MB/Black","UTSKP
A25MB",62063000,205.00,27344,1870618,West Bengal,," 2,42,156.00 ",1125,1125,0,,83839632,18-Jul-25,,Tci Express,27344,169221404,05-Jul-25,14,,,,,
345,27345,GS/0,GS/027345,05-Jul-25,,Abt Enterprises,12635,Max,"UTSKP
A25MB/Black","UTSKP
A25MB",62063000,205.00,27345,1870618,Bangalore,," 13,68,775.00 ",6359,6211,148,,83472113,12-Jul-25,,Tci Express,27345,169221393,05-Jul-25,81,,,,,
346,27346,GS/0,GS/027346,05-Jul-25,,Abt Enterprises,12635,Max,"UTSKP
A25MB/Black","UTSKP
A25MB",62063000,205.00,27346,1854752,Bangalore,," 1,71,985.00 ",799,799,0,,83472938,12-Jul-25,,Tci Express,27346,169221415,05-Jul-25,11,,,,,
347,27347,GS/0,GS/027347,,,,,,,,,,27347,,,,,,,,,,,,,27347,,,,,,,,
348,27348,GS/0,GS/027348,,,Cancel Invoice,,,,,,,27348,,,,,,,,,cancel Invoice,,,,27348,,,,,,,,
349,27349,GS/0,GS/027349,,,Cancel Invoice,,,,,,,27349,,,,,,,,,cancel Invoice,,,,27349,,,,,,,,
350,27350,GS/0,GS/027350,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27350,5109605611,West Bengal,," 2,32,848.00 ",528,528,0,,5069086820,18-Jul-25,,Sai Logistics,27350,163566,08-Jul-25,14,,25-07-2025,Reliance120,,
351,27351,GS/0,GS/027351,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27351,5109605621,Jhajjar,," 2,50,488.00 ",568,560,8,,5068980060,17-Jul-25,,Sai Logistics,27351,163569,08-Jul-25,15,,25-07-2025,Reliance120,,
352,27352,GS/0,GS/027352,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27352,5109605630,Bangalore,," 4,44,528.00 ",1008,1008,0,,5069396579,21-Jul-25,,Sai Logistics,27352,163564,08-Jul-25,26,,25-07-2025,Reliance120,,
353,27353,GS/0,GS/027353,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27353,5109637372,West Bengal,," 98,784.00 ",224,224,0,,5069086249,18-Jul-25,,Sai Logistics,27353,163567,08-Jul-25,7,,25-07-2025,Reliance120,,
354,27354,GS/0,GS/027354,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27354,5109637375,Jhajjar,," 1,06,722.00 ",242,228,14,,5068998613,17-Jul-25,,Sai Logistics,27354,163568,08-Jul-25,7,,25-07-2025,Reliance120,,
355,27355,GS/0,GS/027355,08-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3570/Green,GETCRDSFUT3570,62064000,420.00,27355,5109637378,Bangalore,," 1,89,630.00 ",430,430,0,,5069400481,21-Jul-25,,Sai Logistics,27355,163565,08-Jul-25,12,,25-07-2025,Reliance120,,
356,27356,GS/0,GS/027356,04-Jul-25,28-Mar-26,House of Sp LLP,,Nexon,"SU-YWET00106-
225 AW25/Sage",YWET00106,61062010,180.00,27356,PO(ELHYD)/03453/25-26,Hyderabad,," 6,61,500.00 ",3500,3500,0,,GRC(HYD)/00003064/25-26,14-Jul-25,,Elite Eagle,27356,EE-931312,04-Jul-25,41,,,,,
357,27357,GS/0,GS/027357,04-Jul-25,28-Mar-26,Jha Fashion,,Nexon,SU-WACT00041-125 SS25/Dusty Rose,WACT00041,61061000,141.00,27357,PO(ELHYD)/03971/25-26,Hyderabad,," 3,95,886.00 ",2674,2674,0,,GRC(HYD)/00003157/25-26,17-Jul-25,,Elite Eagle,27357,EE-931819,08-Jul-25,32,,,,,
358,27358,GS/0,GS/027358,04-Jul-25,28-Mar-26,Jha Fashion,,Nexon,SU-WACT00041-125 SS25/Purple,WACT00041,61061000,141.00,27358,PO(ELHYD)/03982/25-26,Hyderabad,," 3,81,673.00 ",2578,2578,0,,GRC(HYD)/00002948/25-26,10-Jul-25,,Elite Eagle,27358,EE-931314,04-Jul-25,32,,,,,
359,27359,GS/0,GS/027359,09-Jul-25,,Bharat Garments,12635,Max,"NOOSCWPTLY/Offwhite
  ","NOOSCWPTLY
  ",62063000,230.00,27359,1887822,Bangalore,," 57,960.00 ",240,168,72,Debit Note As Per Mail,83655166,15-Jul-25,,Tci Express,27359,169221975,10-Jul-25,4,,,,,
360,27360,GS/0,GS/027360,09-Jul-25,,Bharat Garments,12635,Max,"NOOSCWPTLY/Offwhite
  ","NOOSCWPTLY
  ",62063000,230.00,27360,1887822,West Bengal,," 43,470.00 ",180,180,0,,84129718,24-Jul-25,,Tci Express,27360,169221986,10-Jul-25,3,,,,,
361,27361,GS/0,GS/027361,15-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
LEGWEAR-ETHNIC PANT/Offwhite",LEP-UTMUNITED-11,62046300,255.00,27361,PO/00011072/25-26,West Bengal,," 5,15,279.00 ",1984,1984,0,,GRC/10111/25-26,26-Jul-25,,Sai Logistics,27361,163672,16-Jul-25,18,,,,,
362,27362,GS/0,GS/027362,15-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
LEGWEAR-ETHNIC PANT/Black",LEP-UTMUNITED-09,62046300,255.00,27362,PO/00011064/25-26,West Bengal,," 5,15,279.00 ",1984,1984,0,,GRC/10108/25-26,25-Jul-25,,Sai Logistics,27362,163673,16-Jul-25,18,,,,,
363,27363,GS/0,GS/027363,15-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
LEGWEAR-ETHNIC PANT/Beige",LEP-UTMUNITED-08,62046300,255.00,27363,PO/00011075/25-26,West Bengal,," 5,15,279.00 ",1984,1984,0,,GRC/10109/25-26,25-Jul-25,,Sai Logistics,27363,163671,16-Jul-25,18,,,,,
364,27364,GS/0,GS/027364,15-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
LEGWEAR-ETHNIC PANT/Beige",LEP-UTMUNITED-12,62046300,255.00,27364,PO/00011073/25-26, West Bengal ,," 5,15,279.00 ",1984,1984,0,,GRC/10110/25-26,26-Jul-25,,Sai Logistics,27364,163681,16-Jul-25,18,,,,,
365,27365,GS/0,GS/027365,15-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
LEGWEAR-ETHNIC PANT/Maroon",LEP-UTMUNITED-12,62046300,255.00,27365,PO/00011076/25-26,West Bengal,," 5,15,279.00 ",1984,1984,0,,GRC/10655/25-26,28-Jul-25,,Sai Logistics,27365,163680,16-Jul-25,18,,,,,
366,27366,GS/0,GS/027366,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27366,5109605610,West Bengal,," 2,32,848.00 ",528,528,0,,5070652143,02-Aug-25,,Sai Logistics,27366,163745,21-Jul-25,14,,25-07-2025,Reliance120,,
367,27367,GS/0,GS/027367,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27367,5109605620,Jhajjar,," 2,50,488.00 ",568,552,16,,5070140059,29-Jul-25,,Sai Logistics,27367,163748,21-Jul-25,15,,25-07-2025,Reliance120,,
368,27368,GS/0,GS/027368,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27368,5109605629,Bangalore,," 4,44,528.00 ",1008,1008,0,,5070542068,01-Aug-25,,Sai Logistics,27368,163751,21-Jul-25,26,,25-07-2025,Reliance120,,
369,27369,GS/0,GS/027369,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27369,5109637372,West Bengal,," 98,784.00 ",224,219,5,,5070652142,02-Aug-25,,Sai Logistics,27369,163744,21-Jul-25,7,,25-07-2025,Reliance120,,
370,27370,GS/0,GS/027370,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27370,5109637375,Jhajjar,," 1,06,722.00 ",242,237,5,,5070140770,29-Jul-25,,Sai Logistics,27370,163749,21-Jul-25,7,,25-07-2025,Reliance120,,
371,27371,GS/0,GS/027371,21-Jul-25,,Shreeji Apparels,RR10337044,Reliance,GETCRDSFUT3571/Green,GETCRDSFUT3571,62064000,420.00,27371,5109637378,Bangalore,," 1,89,630.00 ",430,428,2,,5070534948,01-Aug-25,,Sai Logistics,27371,163752,21-Jul-25,12,,25-07-2025,Reliance120,,
372,27372,GS/0,GS/027372,11-Jul-25,28-Mar-26,Salasar Creation,,Nexon,"SU-EMS00067-
125 SS25/Maroon



",EMS00067,62063000,475.00,27372,PO(ELHYD)/01185/25-26,Hyderabad,," 6,73,313.00 ",1350,1350,0,,GRC(HYD)/00003092/25-26,15-Jul-25,,Elite Eagle,27372,EE-932437,11-Jul-25,34,,,,,
373,27373,GS/0,GS/027373,11-Jul-25,28-Mar-26,Shreeji Apparels,,Nexon,SU-EFK00207-225 AW25/Teal Green,EFK00207,62064000,298.00,27373,PO(ELHYD)/03828/25-26,Hyderabad,," 6,22,358.00 ",1989,1989,0,,GRC(HYD)/00003107/25-26,15-Jul-25,,Elite Eagle,27373,EE-932482,12-Jul-25,32,,,,,
374,27374,GS/0,GS/027374,14-Jul-25,28-Mar-26,House of Sp LLP,,Nexon,SU-YWET00106-225 AW25/Fuschia,YWET00106,61062010,180.00,27374,PO(ELHYD)/03560/25-26,Hyderabad,," 3,97,656.00 ",2104,2104,0,,GRC(HYD)/00003198/25-26,18-Jul-25,,Elite Eagle,27374,EE-932923,14-Jul-25,25,,,,,
375,27375,GS/0,GS/027375,14-Jul-25,28-Mar-26,House of Sp LLP,,Nexon,"SU-YWET00106-
225 AW25/Wine",YWET00106,61062010,180.00,27375,PO(ELHYD)/03465/25-26,Hyderabad,," 5,75,883.00 ",3047,3047,0,,GRC(HYD)/00003177/25-26,17-Jul-25,,Elite Eagle,27375,EE-932925,14-Jul-25,36,,,,,
376,27376,GS/0,GS/027376,14-Jul-25,28-Mar-26,House of Sp LLP,,Nexon,"SU-YWET00106-
225 AW25/Wine",YWET00106,61062010,180.00,27376,PO(ELHYD)/03467/25-26,Hyderabad,," 2,13,948.00 ",1132,1132,0,,GRC(HYD)/00003202/25-26,18-Jul-25,,Elite Eagle,27376,EE-932924,14-Jul-25,14,,,,,
377,27377,GS/0,GS/027377,14-Jul-25,28-Mar-26,Shreeji Apparels,,Nexon,"SU-ESPT00003-
224 AW25/Grey",ESPT00003,61099090,295.00,27377,PO(ELHYD)/03701/25-26,Hyderabad,," 3,04,175.00 ",982,982,0,,GRC(HYD)/00003263/25-26,20-Jul-25,,Elite Eagle,27377,EE-933085,15-Jul-25,21,,,,,
378,27378,GS/0,GS/027378,14-Jul-25,28-Mar-26,Shreeji Apparels,,Nexon,"SU-ESPT00003-
224 AW25/Black",ESPT00003,61099090,295.00,27378,PO(ELHYD)/03689/25-26,Hyderabad,," 3,10,060.00 ",1001,1001,0,,GRC(HYD)/00003265/25-26,20-Jul-25,,Elite Eagle,27378,EE-933086,15-Jul-25,21,,,,,
379,27379,GS/0,GS/027379,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Beige","NOOSC
WPTLY",62063000,230.00,27379,1891845,Bhiwandi,," 14,490.00 ",60,60,0,,84074344,22-Jul-25,,Tci Express,27379,151893195,18-Jul-25,1,,,,,
380,27380,GS/0,GS/027380,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Beige","NOOSC
WPTLY",62063000,230.00,27380,1891845,Bangalore,," 1,15,920.00 ",480,480,0,,84295832,26-Jul-25,,Tci Express,27380,151893206,18-Jul-25,8,,,,,
381,27381,GS/0,GS/027381,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Offwhite","NOOSC
WPTLY",62063000,230.00,27381,1891789,Bhiwandi,," 72,450.00 ",300,237,63,Debit Note As Per Mail,84074352,22-Jul-25,,Tci Express,27381,151893162,18-Jul-25,5,,,,,
382,27382,GS/0,GS/027382,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Offwhite","NOOSC
WPTLY",62063000,230.00,27382,1891789,Ghaziabad,," 1,15,920.00 ",480,480,0,,84350110,28-Jul-25,,Tci Express,27382,151893173,18-Jul-25,8,,,,,
383,27383,GS/0,GS/027383,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Offwhite","NOOSC
WPTLY",62063000,230.00,27383,1891789,Bangalore,," 3,18,780.00 ",1320,1272,48,Bharat Stitcher Debit Note,84295745,26-Jul-25,,Tci Express,27383,151893184,18-Jul-25,22,,,,,
384,27384,GS/0,GS/027384,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Black","NOOSC
WPTLY",62063000,230.00,27384,1891780,Bhiwandi,," 28,980.00 ",120,120,0,,84074377,22-Jul-25,,Tci Express,27384,151893210,18-Jul-25,2,,,,,
385,27385,GS/0,GS/027385,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Black","NOOSC
WPTLY",62063000,230.00,27385,1891780,Ghaziabad,," 28,980.00 ",120,120,0,,84350350,28-Jul-25,,Tci Express,27385,151893151,18-Jul-25,2,,,,,
386,27386,GS/0,GS/027386,17-Jul-25,,Bharat Garments,12635,Max,"NOOSC
WPTLY/Black","NOOSC
WPTLY",62063000,230.00,27386,1891780,Bangalore,," 2,02,860.00 ",840,822,18,Bharat Stitcher Debit Note,84295643,26-Jul-25,,Tci Express,27386,181893140,18-Jul-25,14,,,,,
387,27387,GS/0,GS/027387,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Maroon
",LKE-UTMUNITED-02,62046300,255.00,27387, PO/00011070/25-26,West Bengal,," 71,942.00 ",277,277,0,,GRC/12379/25-26,10-Aug-25,,Sai Logistics,27387,163728,19-Jul-25,3,,,,,
388,27388,GS/0,GS/027388,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Maroon", LKE-UTMUNITED-02,62046300,255.00,27388,PO/00011062/25-26,West Bengal,," 5,75,534.00 ",2216,2216,0,,GRC/11116/25-26,02-Aug-25,,Sai Logistics,27388,163727,19-Jul-25,20,,,,,
389,27389,GS/0,GS/027389,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Teal
",LKE-UTMUNITED-03,62046300,255.00,27389,PO/00011069/25-26,West Bengal,," 71,942.00 ",277,277,0,,GRC/13882/25-26,18-Aug-25,,Sai Logistics,27389,163726,19-Jul-25,3,,,,,
390,27390,GS/0,GS/027390,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)",LKE-UTMUNITED-03,62046300,255.00,27390,PO/00011065/25-26,West Bengal,," 5,75,534.00 ",2216,2216,0,,GRC/11117/25-26,02-Aug-25,,Sai Logistics,27390,163725,19-Jul-25,20,,,,,
391,27391,GS/0,GS/027391,21-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Offwhite
",LKE-UTMUNITED-01,62046300,255.00,27391,PO/00011067/25-26, West Bengal ,," 69,085.00 ",266,263,3,,GRC/15181/25-26,24-Aug-25,,Sai Logistics,27391,163740,21-Jul-25,3,,,,,
392,27392,GS/0,GS/027392,21-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Offwhite
",LKE-UTMUNITED-01,62046300,255.00,27392,PO/00011063/25-26,West Bengal,," 5,58,912.00 ",2152,2152,0,,GRC/12589/25-26,11-Aug-25,,Sai Logistics,27392,163741,21-Jul-25,20,,,,,
393,27393,GS/0,GS/027393,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Light Pink
",LKE-UTMUNITED-06,62046300,255.00,27393,PO/00011078/25-26,West Bengal,," 71,942.00 ",277,277,0,,GRC/11906/25-26,07-Aug-25,,Sai Logistics,27393,163790,23-Jul-25,3,,,,,
394,27394,GS/0,GS/027394,18-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Light Pink
",LKE-UTMUNITED-06,62046300,255.00,27394,PO/00011093/25-26,West Bengal,," 5,75,534.00 ",2216,2216,0,,GRC/11115/25-26,02-Aug-25,,Sai Logistics,27394,163791,23-Jul-25,20,,,,,
395,27395,GS/0,GS/027395,22-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Blue
",LKE-UTMUNITED-07,62046300,255.00,27395,PO/00011071/25-26,West Bengal,," 71,942.00 ",277,277,0,,GRC/11908/25-26,07-Aug-25,,Sai Logistics,27395,163792,23-Jul-25,3,,,,,
396,27396,GS/0,GS/027396,22-Jul-25,,Shreeji Apparels,,Baazar Style (JM Jain LLP),"LADIES-ETHNIC
TOPWEAR-KURTI (LE)/Blue
",LKE-UTMUNITED-07,62046300,255.00,27396,PO/00011066/25-26,West Bengal,," 5,75,534.00 ",2216,2216,0,,GRC/11096/25-26,02-Aug-25,,Sai Logistics,27396,163793,23-Jul-25,20,,,,,
