Sr.No,Bill no. ,Invoice,Invoice No,Bill Date,,Sticher Name,vendor code,buyer name,Description,Style name,HSN Code,rate,Bill no. ,P O Number,Destination ,, Invoice Full Amount ,Invoice Pcs,"Grn 
Pcs",Short Pcs,Remark,Grn No,Grn Date,,Transport,Bill no. ,LR No,LR  Date ,Cartons,Bank Name,Date,Hundi No,Vendor Code,Remark
17,27017,GS/0,GS/027017,10-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3379/Pink,YETKRTSCUT3379,62046300,262.00,27017,5108441321,Jhajjar,," 4,62,168.00 ",1680,1680,0,,5060957278,28-Apr-25,,Sai Logistics,27017,154228,11-Apr-25,27,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
18,27018,GS/0,GS/027018,10-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3379/Pink,YETKRTSCUT3379,62046300,262.00,27018,5108441336,Bangalore,," 7,39,469.00 ",2688,2680,8,,5060209494,21-Apr-25,,Sai Logistics,27018,154230,11-Apr-25,42,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
19,27019,GS/0,GS/027019,10-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3379/Pink,YETKRTSCUT3379,62046300,262.00,27019,5108450486,West bengal,," 1,37,000.00 ",498,498,0,,5060522598,24-Apr-25,,Sai Logistics,27019,154227,11-Apr-25,10,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
20,27020,GS/0,GS/027020,10-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3379/Pink,YETKRTSCUT3379,62046300,262.00,27020,5108455116,Jhajjar,," 1,88,719.00 ",686,686,0,,5060957279,28-Apr-25,,Sai Logistics,27020,154229,11-Apr-25,14,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
21,27021,GS/0,GS/027021,10-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3379/Pink,YETKRTSCUT3379,62046300,262.00,27021,5108455117,Bangalore,," 3,02,060.00 ",1098,1096,2,,5060203912,21-Apr-25,,Sai Logistics,27021,154231,11-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
22,27022,GS/0,GS/027022,05-Apr-25,28-Mar-26,Salasar Creation,,Nexon,"SU-EEST00217-125 SS25/Green



",EEST00217,62063000,235.00,27022,PO(ELHYD)/12521/24-25,Hyderabad,," 7,27,666.00 ",2949,2949,0,,GRC(HYD)/00000486/25-26,21-Apr-25,,Elite Eagle,27022,EE-917802,17-Apr-25,38,Allocation send,17-07-2025,Money Return,,
23,27023,GS/0,GS/027023,05-Apr-25,28-Mar-26,Salasar Creation,,Nexon,"SU-ESPT00015-125 SS25/Green



",ESPT00015,62063000,195.00,27023,PO(ELHYD)/12531/24-25,Hyderabad,," 5,84,357.00 ",2854,2854,0,,GRC(HYD)/00000487/25-26,21-Apr-25,,Elite Eagle,27023,EE-917805,17-Apr-25,36,Allocation send,17-07-2025,Money Return,,
24,27024,GS/0,GS/027024,05-Apr-25,28-Mar-26,Bhramdev Garments,,Nexon,"SU-EFK00103-125 SS25/Dusty Pink



",EFK00103,62064000,435.00,27024,PO(ELHYD)/12046/24-25,Hyderabad,," 10,91,176.00 ",2389,2389,0,,GRC(HYD)/00000697/25-26,29-Apr-25,,Elite Eagle,27024,EE-1010093,22-Apr-25,37,Allocation send,17-07-2025,Money Return,,
25,27025,GS/0,GS/027025,05-Apr-25,,Gajanan Kumar Koli,116216,D-Mart,KURTA LD PC LCE,KURTA LD PC LCE,62063090,230.00,27025,5002222459,Isnapur,," 6,95,520.00 ",2880,2880,0,,Payment Received,21-Apr-25,,Sai Logistics,27025,153299,01-Apr-25,60,Allocation send,17-07-2025,Money Return,,
26,27026,GS/0,GS/027026,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27026,5108441297,West bengal,," 3,46,685.00 ",1232,1232,0,,5060635691,25-Apr-25,,Sai Logistics,27026,154310,15-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
27,27027,GS/0,GS/027027,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27027,5108441326,Jhajjar,," 4,72,752.00 ",1680,1680,0,,5061170093,30-Apr-25,,Sai Logistics,27027,154308,15-Apr-25,27,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
28,27028,GS/0,GS/027028,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27028,5108441341,Bangalore,," 7,56,403.00 ",2688,2688,0,,5060392928,23-Apr-25,,Sai Logistics,27028,154312,15-Apr-25,42,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
29,27029,GS/0,GS/027029,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27029,5108450486,West bengal,," 1,48,579.00 ",528,526,2,,5060635695,25-Apr-25,,Sai Logistics,27029,154311,15-Apr-25,10,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
30,27030,GS/0,GS/027030,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27030,5108455116,Jhajjar,," 2,02,608.00 ",720,718,2,,5061194973,30-Apr-25,,Sai Logistics,27030,154309,15-Apr-25,13,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
31,27031,GS/0,GS/027031,14-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3381/Peach,YETKRTSCUT3381,62046300,268.00,27031,5108455117,Bangalore,," 3,10,103.00 ",1102,1100,2,,5060402819,23-Apr-25,,Sai Logistics,27031,154313,15-Apr-25,19,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
32,27032,GS/0,GS/027032,,,,,,,,,,27032,,,,,,,0,,,,,,27032,,,,,,,,
33,27033,GS/0,GS/027033,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27033,5108441292,West bengal,," 3,33,749.00 ",1232,1232,0,,5060629755,25-Apr-25,,Sai Logistics,27033,154221,11-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
34,27034,GS/0,GS/027034,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27034,5108441325,Jhajjar,," 4,55,112.00 ",1680,1680,0,,5060948387,28-Apr-25,,Sai Logistics,27034,154220,11-Apr-25,27,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
35,27035,GS/0,GS/027035,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27035,5108441344,Bangalore,," 7,28,179.00 ",2688,2680,8,,5060216041,21-Apr-25,,Sai Logistics,27035,154218,11-Apr-25,42,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
36,27036,GS/0,GS/027036,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27036,5108450486,West bengal,," 1,43,035.00 ",528,528,0,,5060629658,25-Apr-25,,Sai Logistics,27036,154222,11-Apr-25,10,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
37,27037,GS/0,GS/027037,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27037,5108455116,Jhajjar,," 1,95,048.00 ",720,708,12,,5060945643,28-Apr-25,,Sai Logistics,27037,154219,11-Apr-25,13,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
38,27038,GS/0,GS/027038,10-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3383/Sky Blue,YETKRTSCUT3383,62046300,258.00,27038,5108455117,Bangalore,," 3,06,659.00 ",1132,1132,0,,5060212069,21-Apr-25,,Sai Logistics,27038,154217,11-Apr-25,21,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
39,27039,GS/0,GS/027039,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,255.47,27039,5101487211,Hyderabad,," 17,704.00 ",66,66,0,,5013409683,19-Apr-25,,Gati Express,27039,214884683,12-Apr-25,4,HSBC BANK,,,,
40,27040,GS/0,GS/027040,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,255.47,27040,5101487212,Chennai,," 27,897.00 ",104,103,1,,5013499067,22-Apr-25,,Gati Express,27040,214884713,12-Apr-25,4,HSBC BANK,,,,
41,27041,GS/0,GS/027041,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,255.47,27041,5101487214,Dindigul,," 24,142.00 ",90,90,0,,5013493202,22-Apr-25,,Gati Express,27041,214884775,12-Apr-25,4,HSBC BANK,,,,
42,27042,GS/0,GS/027042,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,255.47,27042,5101487215,Hosakote,," 17,436.00 ",65,65,0,,5013428320,20-Apr-25,,Gati Express,27042,214884805,12-Apr-25,4,HSBC BANK,,,,
43,27043,GS/0,GS/027043,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,255.47,27043,5101487219,Tumkur,," 22,801.00 ",85,85,0,,5013561488,25-Apr-25,,Gati Express,27043,214884911,12-Apr-25,4,HSBC BANK,,,,
44,27044,GS/0,GS/027044,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,271.02,27044,5101487213,Khopoli,," 5,976.00 ",21,21,0,,5013437898,21-Apr-25,,Gati Express,27044,214884744,12-Apr-25,4,HSBC BANK,,,,
45,27045,GS/0,GS/027045,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,271.02,27045,5101487216,Assam,," 5,691.00 ",20,20,0,,5013609465,27-Apr-25,,Gati Express,27045,,,4,HSBC BANK,,,,
46,27046,GS/0,GS/027046,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,271.02,27046,5101487217,West bengal,," 24,758.00 ",87,63,24,,5013550765,24-Apr-25,,Gati Express,27046,214884850,12-Apr-25,4,HSBC BANK,,,,
47,27047,GS/0,GS/027047,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/White,TSS25ZWEWAM15323,62046200,271.02,27047,5101487218,Pune,," 14,513.00 ",51,51,0,,5013429593,20-Apr-25,,Gati Express,27047,214884881,12-Apr-25,4,HSBC BANK,,,,
48,27048,GS/0,GS/027048,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62064000,255.47,27048,5101487211,Hyderabad,," 7,779.00 ",29,29,0,,5013410824,19-Apr-25,,Gati Express,27048,214884690,12-Apr-25,3,HSBC BANK,,,,
49,27049,GS/0,GS/027049,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62064000,255.47,27049,5101487212,Chennai,," 12,339.00 ",46,44,2,,5013498606,22-Apr-25,,Gati Express,27049,214884720,12-Apr-25,3,HSBC BANK,,,,
50,27050,GS/0,GS/027050,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62064000,255.47,27050,5101487214,Dindigul,," 10,461.00 ",39,39,0,,5013492872,22-Apr-25,,Gati Express,27050,214884782,12-Apr-25,3,HSBC BANK,,,,
51,27051,GS/0,GS/027051,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,255.47,27051,5101487215,Hosakote,," 7,243.00 ",27,27,0,,5013428009,20-Apr-25,,Gati Express,27051,214884812,12-Apr-25,3,HSBC BANK,,,,
52,27052,GS/0,GS/027052,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,255.47,27052,5101487219,Tumkur,," 9,120.00 ",34,34,0,,5013561485,25-Apr-25,,Gati Express,27052,214884928,12-Apr-25,3,HSBC BANK,,,,
53,27053,GS/0,GS/027053,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,271.02,27053,5101487213,West bengal,," 1,707.00 ",6,4,2,,5013499341,23-Apr-25,,Gati Express,27053,214884751,12-Apr-25,2,HSBC BANK,,,,
54,27054,GS/0,GS/027054,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,271.02,27054,5101487216,Assam,," 2,846.00 ",10,9,1,,5013609465,27-Apr-25,,Gati Express,27054,,,2,HSBC BANK,,,,
55,27055,GS/0,GS/027055,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,271.02,27055,5101487217,West bengal,," 13,944.00 ",49,49,0,,5013550665,24-Apr-25,,Gati Express,27055,214884867,12-Apr-25,3,HSBC BANK,,,,
56,27056,GS/0,GS/027056,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Black,TSS25ZWEWAM15323,62046200,271.03,27056,5101487218,Pune,," 4,838.00 ",17,17,0,,5013429591,20-Apr-25,,Gati Express,27056,214884898,12-Apr-25,3,HSBC BANK,,,,
57,27057,GS/0,GS/027057,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,255.47,27057,5101487211,Hyderabad,," 5,901.00 ",22,22,0,,5013410825,19-Apr-25,,Gati Express,27057,214884706,12-Apr-25,3,HSBC BANK,,,,
58,27058,GS/0,GS/027058,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,255.47,27058,5101487212,Chennai,," 9,657.00 ",36,11,25,,5013498601,22-Apr-25,,Gati Express,27058,214884737,12-Apr-25,3,HSBC BANK,,,,
59,27059,GS/0,GS/027059,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,255.47,27059,5101487214,Dindigul,," 8,047.76 ",30,30,0,,5013492873,22-Apr-25,,Gati Express,27059,,,3,HSBC BANK,,,,
60,27060,GS/0,GS/027060,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,255.47,27060,5101487215,Hosakote,," 5,901.00 ",22,22,0,,5013423180,20-Apr-25,,Gati Express,27060,214884829,12-Apr-25,3,HSBC BANK,,,,
61,27061,GS/0,GS/027061,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,255.47,27061,5101487219,Tumkur,," 7,511.00 ",28,28,0,,5013754462,02-May-25,,Gati Express,27061,214884935,12-Apr-25,3,HSBC BANK,,,,
62,27062,GS/0,GS/027062,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,271.02,27062,5101487213,Khopoli,," 2,277.00 ",8,5,3,,5013667011,29-Apr-25,,Gati Express,27062,214884768,12-Apr-25,3,HSBC BANK,,,,
63,27063,GS/0,GS/027063,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,271.02,27063,5101487216,Assam,," 1,992.00 ",7,7,0,,5013546850,24-Apr-25,,Gati Express,27063,214884843,12-Apr-25,3,HSBC BANK,,,,
64,27064,GS/0,GS/027064,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,271.02,27064,5101487217,West bengal,," 8,253.00 ",29,29,0,,5013550592,24-Apr-25,,Gati Express,27064,214884874,12-Apr-25,3,HSBC BANK,,,,
65,27065,GS/0,GS/027065,12-Apr-25,,Abt Enterprises,RR30304778,Reliance,TSS25ZWEWAM15323/Offwhite,TSS25ZWEWAM15323,62046200,271.02,27065,5101487218,Pune,," 4,838.00 ",17,17,0,,5013429525,20-Apr-25,,Gati Express,27065,214884904,12-Apr-25,3,HSBC BANK,,,,
66,27066,GS/0,GS/027066,,,,,,,,,,27066,,,,,,,,,,,,,27066,,,,,,,,
67,27067,GS/0,GS/027067,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27067,5108441303,West bengal,," 3,36,336.00 ",1232,1232,0,,5060635056,25-Apr-25,,Sai Logistics,27067,154316,16-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
68,27068,GS/0,GS/027068,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27068,5108441315,Jhajjar,," 4,58,640.00 ",1680,1680,0,,5061170095,30-Apr-25,,Sai Logistics,27068,154318,16-Apr-25,27,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
69,27069,GS/0,GS/027069,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27069,5108441335,Bangalore,," 7,33,824.00 ",2688,2688,0,,5060392926,23-Apr-25,,Sai Logistics,27069,154320,16-Apr-25,42,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
70,27070,GS/0,GS/027070,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27070,5108450486,West bengal,," 1,44,144.00 ",528,528,0,,5060635694,25-Apr-25,,Sai Logistics,27070,154317,16-Apr-25,10,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
71,27071,GS/0,GS/027071,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27071,5108455116,Jhajjar,," 1,93,011.00 ",707,703,4,,5061195441,30-Apr-25,,Sai Logistics,27071,154319,16-Apr-25,14,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
72,27072,GS/0,GS/027072,15-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3374/Offwhite,YETKRTSCUT3374,62046300,260.00,27072,5108455117,Bangalore,," 3,11,766.00 ",1142,1142,0,,5060398452,23-Apr-25,,Sai Logistics,27072,154321,16-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
73,27073,GS/0,GS/027073,12-Apr-25,,Gajanan Kumar Koli,116216,D-Mart,KURTA LD PC LCE,KURTA LD PC LCE,62063090,230.00,27073,5002222465,Vadodara,," 2,43,432.00 ",1008,1008,0,,Payment Received,24-Apr-25,,Sai Logistics,27073,152147,16-Apr-25,21,Allocation send,17-07-2025,Money Return,,
74,27074,GS/0,GS/027074,12-Apr-25,28-Mar-26,Bhramdev Garments,,Nexon,"ET-MTEK00012-
125 SS25/Yellow",MTEK00012,62053000,933.00,27074,PO(ELT)/00004/25-26,Bhiwandi,," 2,99,773.00 ",306,306,0,,GRC(ELT)/00195/2025-2026,22-Apr-25,,Elite Eagle,27074,EE-917165,14-Apr-25,13,Allocation send,17-07-2025,Money Return,,
75,27075,GS/0,GS/027075,14-Apr-25,,Shreeji Apparels,,Moglix,SU-ESTK00075-125 SS25/Light Blue,ESTK00075,62064000,296.05,27075,PO#:MOGLIX8319500501589943,Hyderabad,," 6,06,162.00 ",1950,1950,0,,GRC(HYD)/00000488/25-26,21-Apr-25,,Elite Eagle,27075,,,31,Allocation send,17-07-2025,Money Return,,
76,27076,GS/0,GS/027076,17-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3343/Black,YETKRTSCUT3343,62046300,262.00,27076,5108441293,West bengal,," 3,38,923.00 ",1232,1232,0,,5061557798,03-May-25,,Sai Logistics,27076,154339,18-Apr-25,20,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
77,27077,GS/0,GS/027077,17-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3343/Black,YETKRTSCUT3343,62046300,262.00,27077,5108441311,Jhajjar,," 4,62,168.00 ",1680,1672,8,,5061846446,06-May-25,,Sai Logistics,27077,154341,18-Apr-25,27,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
78,27078,GS/0,GS/027078,17-Apr-25,,Prabha Creation,RR10337044,Reliance,YETKRTSCUT3343/Black,YETKRTSCUT3343,62046300,262.00,27078,5108441345,Bangalore,," 7,39,469.00 ",2688,2688,0,,5061083524,29-Apr-25,,Sai Logistics,27078,154343,18-Apr-25,42,HSBC BANK,24-04-2025,Reliance 102,RR10337044,
