"United Textile Mills Pvt. Ltd. Unit - I I -  From Date:- 01/04/2025 To     Date:- 31/03/2026
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinod,Vinod1,Register,Entno,Pay Date,Compy,Entdt,Billno,Billdt,Accled_Name,Party_Name,Urd,Gstno,Statecode,Statename,Hsn_Code,Pcs,Qty,Dis_Amt,Itm_Amt,Assamt,Gstrate,Cgst_Rate,Cgstamt,Sgst_Rate,Sgstamt,Igst_Rate,Igstamt,Netamt,Rcm,Tdsamt,Rate,Taxname,Bf45amt,Bf49amt,Sabid,Unitname,Btypecode,Brokername,Cityname,Biltag,Pursal,Menuname,Typegst,Monthnames,Ycode,Panno,Exporttype,Typecode,Mrgregister
ram,ram1,Garment Purchase,Gp/2526/000011,14-10-2025,United Textile Mills Pvt. Ltd. Unit - I I,10-10-2025,HSPLLP/2526/0705,23-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,626.00","2,626.00",0.00,"3,39,541.80","3,39,541.80",5.00,0.00,0.00,0.00,0.00,5.00,"16,977.09","3,56,519.00",N,-340.00,0.10,Tds On Purchase,0.00,-340.00,2624735595,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000012,14-10-2025,United Textile Mills Pvt. Ltd. Unit - I I,10-10-2025,HSPLLP/2526/0706,23-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,500.00","3,500.00",0.00,"4,52,550.00","4,52,550.00",5.00,0.00,0.00,0.00,0.00,5.00,"22,627.50","4,75,178.00",N,-453.00,0.10,Tds On Purchase,0.00,-453.00,2624735596,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000013,12-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,10-10-2025,HSPLLP/2526/0728,30-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,098.00","3,098.00",0.00,"4,00,571.40","4,00,571.40",5.00,0.00,0.00,0.00,0.00,5.00,"20,028.57","4,20,600.00",N,-401.00,0.10,Tds On Purchase,0.00,-401.00,2624735597,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000014,28-10-2025,United Textile Mills Pvt. Ltd. Unit - I I,10-10-2025,HSPLLP/2526/0727,29-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"1,884.00","1,884.00",0.00,"2,43,601.20","2,43,601.20",5.00,0.00,0.00,0.00,0.00,5.00,"12,180.06","2,55,781.00",N,-244.00,0.10,Tds On Purchase,0.00,-244.00,2624735598,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000015,11-10-2025,United Textile Mills Pvt. Ltd. Unit - I I,10-10-2025,HSPLLP/2526/0677,06-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"4,223.00","4,223.00",0.00,"5,86,321.32","5,86,321.32",5.00,0.00,0.00,0.00,0.00,5.00,"29,316.07","6,15,637.00",N,-586.00,0.10,Tds On Purchase,0.00,-586.00,2624735599,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000016,11-10-2025,United Textile Mills Pvt. Ltd. Unit - I I,11-10-2025,HSPLLP/2526/0664,30-08-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"9,112.00","9,112.00",0.00,"11,08,019.20","11,08,019.20",5.00,0.00,0.00,0.00,0.00,5.00,"55,400.96","11,63,420.00",N,"-1,108.00",0.10,Tds On Purchase,0.00,"-1,108.00",2624736193,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000017,03-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,31-10-2025,HSPLLP/2526/0691,17-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"5,671.00","5,671.00",0.00,"7,81,917.00","7,81,917.00",5.00,0.00,0.00,0.00,0.00,5.00,"39,095.85","8,21,013.00",N,-782.00,0.10,Tds On Purchase,0.00,-782.00,2624737311,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000018,12-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,31-10-2025,HSPLLP/2526/0692,17-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"6,219.00","6,219.00",0.00,"8,63,446.00","8,63,446.00",5.00,0.00,0.00,0.00,0.00,5.00,"43,172.30","9,06,618.00",N,-863.00,0.10,Tds On Purchase,0.00,-863.00,2624737312,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000019,03-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,31-10-2025,HSPLLP/2526/0693,17-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61046300,"2,782.00","2,782.00",0.00,"7,99,129.50","7,99,129.50",5.00,0.00,0.00,0.00,0.00,5.00,"39,956.48","8,39,086.00",N,-799.00,0.10,Tds On Purchase,0.00,-799.00,2624737313,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000020,05-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,31-10-2025,HSPLLP/2526/0694,17-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"3,799.00","3,799.00",0.00,"5,45,612.00","5,45,612.00",5.00,0.00,0.00,0.00,0.00,5.00,"27,280.60","5,72,893.00",N,-546.00,0.10,Tds On Purchase,0.00,-546.00,2624737314,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000021,03-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,31-10-2025,HSPLLP/2526/0681,10-09-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"8,458.00","8,458.00",0.00,"11,66,189.00","11,66,189.00",5.00,0.00,0.00,0.00,0.00,5.00,"58,309.45","12,24,498.00",N,"-1,166.00",0.10,Tds On Purchase,0.00,"-1,166.00",2624737315,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,October,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000022,19-11-2025,United Textile Mills Pvt. Ltd. Unit - I I,06-11-2025,HSPLLP/2526/0749,11-10-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,412.00","2,412.00",0.00,"3,11,871.60","3,11,871.60",5.00,0.00,0.00,0.00,0.00,5.00,"15,593.58","3,27,465.00",N,-312.00,0.10,Tds On Purchase,0.00,-312.00,2624737649,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000023,19-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-11-2025,HSPLLP/2526/0758,11-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"1,600.00","1,600.00",0.00,"4,56,528.00","4,56,528.00",5.00,0.00,0.00,0.00,0.00,5.00,"22,826.40","4,79,353.97",N,"-1,269.00",0.10,Tds On Purchase,0.00,-456.58,2624758514,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000023,19-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-11-2025,HSPLLP/2526/0758,11-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"6,285.00","6,285.00",0.00,"8,12,650.50","8,12,650.50",5.00,0.00,0.00,0.00,0.00,5.00,"40,632.53","8,53,283.03",N,"-1,269.00",0.10,Tds On Purchase,0.00,-812.42,2624758514,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000024,09-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-11-2025,HSPLLP/2526/0759,11-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"5,600.00","5,600.00",0.00,"7,07,840.00","7,07,840.00",5.00,0.00,0.00,0.00,0.00,5.00,"35,392.00","7,43,232.25",N,"-1,151.00",0.10,Tds On Purchase,0.00,-707.75,2624758515,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000024,09-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-11-2025,HSPLLP/2526/0759,11-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,62041200,"1,971.00","1,971.00",0.00,"4,43,475.00","4,43,475.00",5.00,0.00,0.00,0.00,0.00,5.00,"22,173.75","4,65,648.75",N,"-1,151.00",0.10,Tds On Purchase,0.00,-443.25,2624758515,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
